time_iso,air temperature,Atm pressure mm of mercury,Relative humidity (%),Mean wind direction,Mean wind speed,Max gust value,Unnamed: 9,visibility,dewpoint temperature
2023-01-01T00:20:00,5.0,742.6,93.0,0.001,6.0,11.0,,0.898989898989899,4.0
2023-01-01T00:50:00,5.0,742.6,93.0,0.001,4.0,11.0,,1.0,4.0
2023-01-01T01:20:00,5.0,742.6,87.0,0.001,5.0,11.0,,1.0,3.0
2023-01-01T01:50:00,5.0,743.3,93.0,0.001,5.0,11.0,,1.0,4.0
2023-01-01T02:20:00,5.0,743.3,93.0,0.001,6.0,11.0,,1.0,4.0
2023-01-01T02:50:00,4.0,743.3,93.0,0.001,6.0,11.0,,1.0,3.0
2023-01-01T03:20:00,4.0,744.1,93.0,0.001,6.0,11.0,,1.0,3.0
2023-01-01T03:50:00,4.0,744.1,93.0,0.001,6.0,11.0,,1.0,3.0
2023-01-01T04:20:00,4.0,744.1,87.0,0.001,6.0,11.0,,1.0,2.0
2023-01-01T04:50:00,3.0,744.1,93.0,0.001,5.0,11.0,,1.0,2.0
2023-01-01T05:20:00,2.0,744.1,93.0,0.001,3.0,11.0,,1.0,1.0
2023-01-01T05:50:00,3.0,744.8,93.0,0.001,3.0,11.0,,1.0,2.0
2023-01-01T06:20:00,2.0,744.8,93.0,0.001,3.0,11.0,,1.0,1.0
2023-01-01T06:50:00,2.0,744.8,100.0,0.001,3.0,11.0,,1.0,2.0
2023-01-01T07:20:00,2.0,744.8,93.0,0.001,3.0,11.0,,1.0,1.0
2023-01-01T07:50:00,2.0,744.8,93.0,0.001,3.0,11.0,,0.696969696969697,1.0
2023-01-01T08:20:00,2.0,745.6,93.0,0.001,3.0,11.0,,0.898989898989899,1.0
2023-01-01T08:50:00,1.0,745.6,100.0,0.001,2.0,11.0,,1.0,1.0
2023-01-01T09:20:00,1.0,745.6,100.0,0.001,2.0,11.0,,1.0,1.0
2023-01-01T09:50:00,1.0,746.4,100.0,0.001,2.0,11.0,,0.898989898989899,1.0
2023-01-01T10:20:00,1.0,746.4,100.0,0.001,2.0,11.0,,0.898989898989899,1.0
2023-01-01T10:50:00,1.0,746.4,93.0,0.001,1.0,11.0,,1.0,0.001
2023-01-01T11:20:00,1.0,746.4,93.0,0.001,2.0,11.0,,1.0,0.001
2023-01-01T11:50:00,1.0,747.1,100.0,0.001,1.0,11.0,,1.0,1.0
2023-01-01T12:20:00,1.0,747.1,100.0,0.001,2.0,11.0,,1.0,1.0
2023-01-01T12:50:00,1.0,747.1,93.0,0.001,2.0,11.0,,1.0,0.001
2023-01-01T13:20:00,2.0,747.1,87.0,0.001,2.0,11.0,,1.0,0.001
2023-01-01T13:50:00,2.0,747.9,81.0,0.001,2.0,11.0,,1.0,-1.0
2023-01-01T14:20:00,2.0,747.9,81.0,0.001,2.0,11.0,,1.0,-1.0
2023-01-01T14:50:00,2.0,747.9,87.0,0.001,3.0,11.0,,1.0,0.001
2023-01-01T15:20:00,2.0,748.6,75.0,0.001,2.0,11.0,,1.0,-2.0
2023-01-01T15:50:00,1.0,748.6,81.0,0.001,1.0,11.0,,1.0,-2.0
2023-01-01T16:20:00,1.0,748.6,81.0,0.001,1.0,11.0,,1.0,-2.0
2023-01-01T16:50:00,1.0,748.6,81.0,0.001,1.0,11.0,,1.0,-2.0
2023-01-01T17:20:00,1.0,749.4,81.0,0.001,2.0,11.0,,1.0,-2.0
2023-01-01T17:50:00,1.0,749.4,81.0,0.001,3.0,11.0,,1.0,-2.0
2023-01-01T18:20:00,0.001,750.1,80.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-01T18:50:00,-2.0,750.1,93.0,0.001,2.0,11.0,,1.0,-3.0
2023-01-01T19:20:00,-2.0,750.1,93.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-01T19:50:00,-2.0,750.8,93.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-01T20:20:00,0.001,751.6,87.0,0.001,3.0,11.0,,1.0,-2.0
2023-01-01T20:50:00,0.001,751.6,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-01T21:20:00,0.001,752.4,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-01T21:50:00,0.001,752.4,80.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-01T22:20:00,0.001,753.1,80.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-01T22:50:00,0.001,753.1,80.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-01T23:20:00,0.001,753.9,80.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-01T23:50:00,0.001,753.9,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-02T00:20:00,0.001,754.4,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-02T00:50:00,0.001,754.4,80.0,0.001,6.0,11.0,,1.0,-3.0
2023-01-02T01:20:00,0.001,755.2,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-02T01:50:00,0.001,755.2,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-02T02:20:00,0.001,755.2,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-02T02:50:00,-1.0,755.9,86.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-02T03:20:00,-1.0,755.9,86.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-02T03:50:00,-2.0,756.7,86.0,0.001,5.0,11.0,,1.0,-4.0
2023-01-02T04:20:00,-3.0,756.7,93.0,0.001,5.0,11.0,,1.0,-4.0
2023-01-02T04:50:00,-2.0,756.7,93.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-02T05:20:00,-2.0,757.4,93.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-02T05:50:00,-3.0,757.4,93.0,0.001,4.0,11.0,,1.0,-4.0
2023-01-02T06:20:00,-3.0,757.4,93.0,0.001,3.0,11.0,,1.0,-4.0
2023-01-02T06:50:00,-3.0,757.4,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T07:20:00,-3.0,757.4,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T07:50:00,-3.0,758.2,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T08:20:00,-3.0,758.2,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T08:50:00,-3.0,758.2,93.0,0.001,3.0,11.0,,1.0,-4.0
2023-01-02T09:20:00,-3.0,758.2,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T09:50:00,-3.0,758.2,93.0,0.001,1.0,11.0,,1.0,-4.0
2023-01-02T10:20:00,-3.0,759.0,100.0,0.001,1.0,11.0,,1.0,-3.0
2023-01-02T10:50:00,-3.0,759.0,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T11:20:00,-3.0,759.0,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T11:50:00,-3.0,759.0,93.0,0.001,1.0,11.0,,1.0,-4.0
2023-01-02T12:20:00,-3.0,759.0,93.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T12:50:00,-2.0,758.2,86.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T13:20:00,-2.0,758.2,86.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T13:50:00,-2.0,758.2,86.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-02T14:20:00,-2.0,758.2,86.0,0.001,3.0,11.0,,1.0,-4.0
2023-01-02T14:50:00,-2.0,757.4,93.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-02T15:20:00,-1.0,757.4,80.0,0.001,3.0,11.0,,1.0,-4.0
2023-01-02T15:50:00,-1.0,757.4,86.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-02T16:20:00,-1.0,756.7,86.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-02T16:50:00,-1.0,755.9,86.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-02T17:20:00,-1.0,755.9,86.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-02T17:50:00,-1.0,755.2,86.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-02T18:20:00,0.001,755.2,80.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-02T18:50:00,0.001,755.2,75.0,0.001,5.0,11.0,,1.0,-4.0
2023-01-02T19:20:00,0.001,754.4,80.0,0.001,5.0,11.0,,1.0,-3.0
2023-01-02T19:50:00,0.001,753.9,87.0,0.001,6.0,11.0,,1.0,-2.0
2023-01-02T20:20:00,0.001,753.9,87.0,0.001,4.0,11.0,,1.0,-2.0
2023-01-02T20:50:00,0.001,753.1,93.0,0.001,5.0,11.0,,1.0,-1.0
2023-01-02T21:20:00,0.001,752.4,93.0,0.001,5.0,11.0,,1.0,-1.0
2023-01-02T21:50:00,0.001,752.4,100.0,0.001,5.0,11.0,,1.0,0.001
2023-01-02T22:20:00,1.0,751.6,93.0,0.001,5.0,11.0,,1.0,0.001
2023-01-02T22:50:00,1.0,751.6,93.0,0.001,5.0,11.0,,1.0,0.001
2023-01-02T23:20:00,1.0,750.8,93.0,0.001,4.0,11.0,,1.0,0.001
2023-01-02T23:50:00,1.0,750.8,93.0,0.001,5.0,11.0,,1.0,0.001
2023-01-03T00:20:00,1.0,750.2,93.0,0.001,5.0,11.0,,0.797979797979798,0.001
2023-01-03T00:50:00,0.001,749.3,100.0,0.001,6.0,11.0,,0.4444444444444445,0.001
2023-01-03T01:20:00,0.001,748.5,100.0,0.001,7.0,11.0,,0.595959595959596,0.001
2023-01-03T01:50:00,0.001,748.5,100.0,0.001,7.0,11.0,,0.4444444444444445,0.001
2023-01-03T02:20:00,0.001,747.1,100.0,0.001,9.0,11.0,,0.29292929292929293,0.001
2023-01-03T02:50:00,0.001,747.1,100.0,0.001,8.0,11.0,,0.595959595959596,0.001
2023-01-03T03:20:00,0.001,746.4,100.0,0.001,8.0,11.0,,0.3434343434343434,0.001
2023-01-03T03:50:00,0.001,745.6,100.0,0.001,8.0,11.0,,0.3737373737373737,0.001
2023-01-03T04:20:00,0.001,744.8,93.0,0.001,9.0,11.0,,0.0606060606060606,-1.0
2023-01-03T04:50:00,0.001,744.8,93.0,0.001,8.0,11.0,,0.1717171717171717,-1.0
2023-01-03T05:20:00,0.001,744.8,93.0,0.001,7.0,11.0,,0.10101010101010101,-1.0
2023-01-03T05:50:00,0.001,744.1,93.0,0.001,5.0,11.0,,0.030303030303030307,-1.0
2023-01-03T06:20:00,0.001,744.1,93.0,0.001,5.0,11.0,,0.04040404040404041,-1.0
2023-01-03T06:50:00,0.001,744.1,100.0,0.001,4.0,11.0,,0.04040404040404041,0.001
2023-01-03T07:20:00,0.001,744.1,100.0,0.001,6.0,11.0,,0.0707070707070707,0.001
2023-01-03T07:50:00,0.001,744.8,100.0,0.001,5.0,11.0,,0.0707070707070707,0.001
2023-01-03T08:20:00,0.001,745.6,100.0,0.001,5.0,11.0,,0.31313131313131315,0.001
2023-01-03T08:50:00,0.001,746.4,100.0,0.001,5.0,11.0,,0.2727272727272727,0.001
2023-01-03T09:20:00,0.001,746.4,100.0,0.001,5.0,11.0,,0.42424242424242425,0.001
2023-01-03T09:50:00,0.001,747.1,100.0,0.001,5.0,11.0,,0.3232323232323232,0.001
2023-01-03T10:20:00,0.001,747.8,100.0,0.001,5.0,11.0,,0.696969696969697,0.001
2023-01-03T10:50:00,0.001,748.5,100.0,0.001,4.0,11.0,,0.3333333333333333,0.001
2023-01-03T11:20:00,1.0,749.4,93.0,0.001,4.0,11.0,,0.494949494949495,0.001
2023-01-03T11:50:00,1.0,749.4,93.0,0.001,5.0,11.0,,0.21212121212121213,0.001
2023-01-03T12:20:00,1.0,750.2,93.0,0.001,5.0,11.0,,0.898989898989899,0.001
2023-01-03T12:50:00,1.0,750.8,93.0,0.001,5.0,11.0,,1.0,0.001
2023-01-03T13:20:00,1.0,750.8,87.0,0.001,4.0,11.0,,1.0,-1.0
2023-01-03T13:50:00,1.0,751.6,87.0,0.001,4.0,11.0,,1.0,-1.0
2023-01-03T14:20:00,1.0,752.4,87.0,0.001,4.0,11.0,,1.0,-1.0
2023-01-03T14:50:00,1.0,752.4,87.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-03T15:20:00,1.0,753.1,87.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-03T15:50:00,1.0,753.9,87.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-03T16:20:00,1.0,753.9,87.0,0.001,3.0,11.0,,0.696969696969697,-1.0
2023-01-03T16:50:00,1.0,754.4,87.0,0.001,3.0,11.0,,0.696969696969697,-1.0
2023-01-03T17:20:00,1.0,755.2,93.0,0.001,3.0,11.0,,0.797979797979798,0.001
2023-01-03T17:50:00,1.0,755.2,87.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-03T18:20:00,0.001,755.9,93.0,0.001,3.0,11.0,,0.797979797979798,-1.0
2023-01-03T18:50:00,0.001,755.9,93.0,0.001,2.0,11.0,,0.29292929292929293,-1.0
2023-01-03T19:20:00,0.001,755.9,93.0,0.001,3.0,11.0,,0.25252525252525254,-1.0
2023-01-03T19:50:00,0.001,755.9,93.0,0.001,2.0,11.0,,0.797979797979798,-1.0
2023-01-03T20:20:00,0.001,756.7,93.0,0.001,2.0,11.0,,1.0,-1.0
2023-01-03T20:50:00,0.001,756.7,93.0,0.001,2.0,11.0,,1.0,-1.0
2023-01-03T21:20:00,0.001,756.7,93.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-03T21:50:00,0.001,756.7,93.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-03T22:20:00,0.001,756.7,93.0,0.001,1.0,11.0,,1.0,-1.0
2023-01-03T22:50:00,0.001,756.7,93.0,0.001,1.0,11.0,,1.0,-1.0
2023-01-03T23:20:00,0.001,757.4,93.0,0.001,4.0,11.0,,1.0,-1.0
2023-01-03T23:50:00,0.001,757.4,93.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-04T00:20:00,0.001,757.4,93.0,0.001,3.0,11.0,,1.0,-1.0
2023-01-04T00:50:00,0.001,757.4,93.0,0.001,3.0,11.0,,0.595959595959596,-1.0
2023-01-04T01:20:00,0.001,757.4,100.0,0.001,3.0,11.0,,0.3333333333333333,0.001
2023-01-04T01:50:00,0.001,757.4,100.0,0.001,5.0,11.0,,0.696969696969697,0.001
2023-01-04T02:20:00,0.001,757.4,100.0,0.001,5.0,11.0,,0.898989898989899,0.001
2023-01-04T02:50:00,1.0,758.2,87.0,0.001,5.0,11.0,,1.0,-1.0
2023-01-04T03:20:00,0.001,758.2,93.0,0.001,5.0,11.0,,0.595959595959596,-1.0
2023-01-04T03:50:00,0.001,758.2,93.0,0.001,5.0,11.0,,0.20202020202020202,-1.0
2023-01-04T04:20:00,0.001,758.2,93.0,0.001,5.0,11.0,,0.4343434343434344,-1.0
2023-01-04T04:50:00,0.001,758.2,93.0,0.001,5.0,11.0,,0.797979797979798,-1.0
2023-01-04T05:20:00,0.001,758.2,93.0,0.001,4.0,11.0,,0.696969696969697,-1.0
2023-01-04T05:50:00,0.001,758.2,87.0,0.001,5.0,11.0,,1.0,-2.0
2023-01-04T06:20:00,0.001,758.2,87.0,0.001,5.0,11.0,,1.0,-2.0
2023-01-04T06:50:00,0.001,758.2,87.0,0.001,4.0,11.0,,1.0,-2.0
2023-01-04T07:20:00,0.001,758.2,87.0,0.001,5.0,11.0,,1.0,-2.0
2023-01-04T07:50:00,0.001,758.2,93.0,0.001,4.0,11.0,,0.898989898989899,-1.0
2023-01-04T08:20:00,0.001,758.2,87.0,0.001,3.0,11.0,,1.0,-2.0
2023-01-04T08:50:00,0.001,758.2,87.0,0.001,2.0,11.0,,1.0,-2.0
2023-01-04T09:20:00,0.001,758.2,87.0,0.001,3.0,11.0,,1.0,-2.0
2023-01-04T09:50:00,0.001,758.2,87.0,0.001,2.0,11.0,,1.0,-2.0
2023-01-04T10:20:00,-1.0,758.2,86.0,0.001,2.0,11.0,,1.0,-3.0
2023-01-04T10:50:00,-1.0,758.2,86.0,0.001,2.0,11.0,,1.0,-3.0
2023-01-04T11:20:00,-1.0,758.2,86.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-04T11:50:00,-1.0,758.2,86.0,0.001,3.0,11.0,,1.0,-3.0
2023-01-04T12:20:00,-1.0,758.2,86.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-04T12:50:00,-1.0,758.2,86.0,0.001,4.0,11.0,,1.0,-3.0
2023-01-04T13:20:00,-1.0,758.2,80.0,0.001,3.0,11.0,,1.0,-4.0
2023-01-04T13:50:00,-1.0,758.2,80.0,0.001,3.0,11.0,,1.0,-4.0
2023-01-04T14:20:00,-2.0,758.2,86.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-04T14:50:00,-2.0,757.4,86.0,0.001,3.0,11.0,,1.0,-4.0
2023-01-04T15:20:00,-2.0,757.4,86.0,0.001,2.0,11.0,,1.0,-4.0
2023-01-04T15:50:00,-2.0,757.4,86.0,0.001,4.0,11.0,,1.0,-4.0
2023-01-04T16:20:00,-2.0,757.4,86.0,0.001,5.0,11.0,,1.0,-4.0
2023-01-04T16:50:00,-2.0,756.7,86.0,0.001,4.0,11.0,,1.0,-4.0
2023-01-04T17:20:00,-3.0,756.7,86.0,0.001,5.0,11.0,,1.0,-5.0
2023-01-04T17:50:00,-2.0,756.7,74.0,0.001,3.0,11.0,,1.0,-6.0
2023-01-04T18:20:00,-3.0,756.7,86.0,0.001,1.0,11.0,,1.0,-5.0
2023-01-04T18:50:00,-3.0,755.9,86.0,0.001,5.0,11.0,,1.0,-5.0
2023-01-04T19:20:00,-3.0,755.9,86.0,0.001,6.0,11.0,,1.0,-5.0
2023-01-04T19:50:00,-4.0,755.9,93.0,0.001,5.0,11.0,,1.0,-5.0
2023-01-04T20:20:00,-4.0,755.2,93.0,0.001,6.0,11.0,,1.0,-5.0
2023-01-04T20:50:00,-4.0,755.2,93.0,0.001,5.0,11.0,,1.0,-5.0
2023-01-04T21:20:00,-4.0,755.2,86.0,0.001,6.0,11.0,,1.0,-6.0
2023-01-04T21:50:00,-4.0,755.2,86.0,0.001,7.0,11.0,,1.0,-6.0
2023-01-04T22:20:00,-4.0,754.4,80.0,0.001,7.0,11.0,,1.0,-7.0
2023-01-04T22:50:00,-4.0,754.4,80.0,0.001,9.0,11.0,,1.0,-7.0
2023-01-04T23:20:00,-4.0,754.4,80.0,0.001,7.0,11.0,,1.0,-7.0
2023-01-04T23:50:00,-4.0,753.9,80.0,0.001,7.0,11.0,,1.0,-7.0
2023-01-05T00:20:00,-5.0,753.8,86.0,0.001,7.0,11.0,,1.0,-7.0
2023-01-05T00:50:00,-5.0,753.8,86.0,0.001,7.0,11.0,,1.0,-7.0
2023-01-05T01:20:00,-5.0,753.8,80.0,0.001,6.0,11.0,,1.0,-8.0
2023-01-05T01:50:00,-6.0,753.8,86.0,0.001,6.0,11.0,,1.0,-8.0
2023-01-05T02:20:00,-6.0,753.0,86.0,0.001,6.0,11.0,,1.0,-8.0
2023-01-05T02:50:00,-6.0,753.0,86.0,0.001,6.0,11.0,,1.0,-8.0
2023-01-05T03:20:00,-6.0,753.0,86.0,0.001,6.0,11.0,,1.0,-8.0
2023-01-05T03:50:00,-5.0,753.1,80.0,0.001,7.0,11.0,,1.0,-8.0
2023-01-05T04:20:00,-5.0,753.1,80.0,0.001,8.0,11.0,,1.0,-8.0
2023-01-05T04:50:00,-5.0,753.1,80.0,0.001,8.0,11.0,,1.0,-8.0
2023-01-05T05:20:00,-5.0,753.1,80.0,0.001,10.0,11.0,,1.0,-8.0
2023-01-05T05:50:00,-6.0,753.0,80.0,0.001,9.0,11.0,,1.0,-9.0
2023-01-05T06:20:00,-6.0,753.0,80.0,0.001,8.0,11.0,,1.0,-9.0
2023-01-05T06:50:00,-7.0,753.0,86.0,0.001,7.0,11.0,,1.0,-9.0
2023-01-05T07:20:00,-7.0,753.0,86.0,0.001,7.0,11.0,,1.0,-9.0
2023-01-05T07:50:00,-7.0,753.8,86.0,0.001,7.0,11.0,,1.0,-9.0
2023-01-05T08:20:00,-7.0,753.8,86.0,0.001,6.0,11.0,,1.0,-9.0
2023-01-05T08:50:00,-8.0,753.8,93.0,0.001,5.0,11.0,,0.797979797979798,-9.0
2023-01-05T09:20:00,-8.0,753.8,93.0,0.001,6.0,11.0,,0.898989898989899,-9.0
2023-01-05T09:50:00,-8.0,754.3,93.0,0.001,5.0,11.0,,0.797979797979798,-9.0
2023-01-05T10:20:00,-8.0,754.3,93.0,0.001,4.0,11.0,,0.797979797979798,-9.0
2023-01-05T10:50:00,-8.0,755.1,93.0,0.001,4.0,11.0,,0.494949494949495,-9.0
2023-01-05T11:20:00,-9.0,755.1,93.0,0.001,4.0,11.0,,1.0,-10.0
2023-01-05T11:50:00,-8.0,755.1,93.0,0.001,3.0,11.0,,0.45454545454545453,-9.0
2023-01-05T12:20:00,-6.0,755.1,86.0,0.001,5.0,11.0,,0.21212121212121213,-8.0
2023-01-05T12:50:00,-6.0,755.1,93.0,0.001,4.0,11.0,,0.898989898989899,-7.0
2023-01-05T13:20:00,-5.0,755.1,80.0,0.001,6.0,11.0,,0.595959595959596,-8.0
2023-01-05T13:50:00,-6.0,755.8,93.0,0.001,6.0,11.0,,0.595959595959596,-7.0
2023-01-05T14:20:00,-6.0,755.8,93.0,0.001,7.0,11.0,,0.47474747474747475,-7.0
2023-01-05T14:50:00,-6.0,756.6,86.0,0.001,7.0,11.0,,0.797979797979798,-8.0
2023-01-05T15:20:00,-6.0,756.6,74.0,0.001,9.0,11.0,,0.797979797979798,-10.0
2023-01-05T15:50:00,-6.0,756.6,86.0,0.001,8.0,11.0,,0.11111111111111109,-8.0
2023-01-05T16:20:00,-6.0,757.3,80.0,0.001,8.0,11.0,,0.595959595959596,-9.0
2023-01-05T16:50:00,-7.0,757.3,86.0,0.001,8.0,11.0,,0.22222222222222218,-9.0
2023-01-05T17:20:00,-7.0,758.1,79.0,0.001,7.0,11.0,,0.898989898989899,-10.0
2023-01-05T17:50:00,-7.0,758.1,79.0,0.001,8.0,11.0,,0.595959595959596,-10.0
2023-01-05T18:20:00,-7.0,758.9,86.0,0.001,6.0,11.0,,0.3434343434343434,-9.0
2023-01-05T18:50:00,-7.0,758.9,86.0,0.001,4.0,11.0,,0.050505050505050504,-9.0
2023-01-05T19:20:00,-7.0,758.9,93.0,0.001,4.0,11.0,,0.595959595959596,-8.0
2023-01-05T19:50:00,-6.0,759.6,80.0,0.001,6.0,11.0,,0.4444444444444445,-9.0
2023-01-05T20:20:00,-6.0,759.6,86.0,0.001,6.0,11.0,,0.0606060606060606,-8.0
2023-01-05T20:50:00,-6.0,760.4,80.0,0.001,6.0,11.0,,1.0,-9.0
2023-01-05T21:20:00,-6.0,760.4,86.0,0.001,5.0,11.0,,0.15151515151515152,-8.0
2023-01-05T21:50:00,-6.0,760.4,74.0,0.001,6.0,11.0,,1.0,-10.0
2023-01-05T22:20:00,-7.0,761.1,86.0,0.001,6.0,11.0,,1.0,-9.0
2023-01-05T22:50:00,-7.0,761.1,86.0,0.001,5.0,11.0,,0.1313131313131313,-9.0
2023-01-05T23:20:00,-7.0,761.9,86.0,0.001,5.0,11.0,,0.47474747474747475,-9.0
2023-01-05T23:50:00,-7.0,761.9,86.0,0.001,6.0,11.0,,1.0,-9.0
2023-01-06T00:20:00,-7.0,762.7,79.0,0.001,5.0,11.0,,1.0,-10.0
2023-01-06T00:50:00,-7.0,762.7,79.0,0.001,5.0,11.0,,1.0,-10.0
2023-01-06T01:20:00,-7.0,763.4,79.0,0.001,5.0,11.0,,1.0,-10.0
2023-01-06T01:50:00,-7.0,763.4,79.0,0.001,4.0,11.0,,1.0,-10.0
2023-01-06T02:20:00,-7.0,763.4,79.0,0.001,3.0,11.0,,0.696969696969697,-10.0
2023-01-06T02:50:00,-8.0,764.2,86.0,0.001,2.0,11.0,,0.797979797979798,-10.0
2023-01-06T03:20:00,-8.0,764.2,93.0,0.001,0.001,11.0,,0.3838383838383838,-9.0
2023-01-06T03:50:00,-8.0,764.2,93.0,0.001,1.0,11.0,,1.0,-9.0
2023-01-06T04:20:00,-8.0,764.2,93.0,0.001,1.0,11.0,,0.494949494949495,-9.0
2023-01-06T04:50:00,-6.0,764.2,74.0,0.001,3.0,11.0,,1.0,-10.0
2023-01-06T05:20:00,-5.0,765.0,68.0,0.001,3.0,11.0,,1.0,-10.0
2023-01-06T05:50:00,-6.0,765.0,74.0,0.001,3.0,11.0,,1.0,-10.0
2023-01-06T06:20:00,-6.0,765.0,80.0,0.001,3.0,11.0,,0.898989898989899,-9.0
2023-01-06T06:50:00,-5.0,765.0,74.0,0.001,4.0,11.0,,0.696969696969697,-9.0
2023-01-06T07:20:00,-5.0,765.0,74.0,0.001,3.0,11.0,,0.898989898989899,-9.0
2023-01-06T07:50:00,-5.0,765.7,74.0,0.001,4.0,11.0,,0.3939393939393939,-9.0
2023-01-06T08:20:00,-6.0,765.7,86.0,0.001,2.0,11.0,,0.696969696969697,-8.0
2023-01-06T08:50:00,-6.0,765.7,86.0,0.001,4.0,11.0,,0.1919191919191919,-8.0
2023-01-06T09:20:00,-6.0,765.7,86.0,0.001,2.0,11.0,,1.0,-8.0
2023-01-06T09:50:00,-6.0,765.7,80.0,0.001,1.0,11.0,,1.0,-9.0
2023-01-06T10:20:00,-6.0,766.5,80.0,0.001,3.0,11.0,,1.0,-9.0
2023-01-06T10:50:00,-6.0,766.5,80.0,0.001,3.0,11.0,,1.0,-9.0
2023-01-06T11:20:00,-7.0,766.5,86.0,0.001,2.0,11.0,,1.0,-9.0
2023-01-06T11:50:00,-6.0,766.5,80.0,0.001,2.0,11.0,,1.0,-9.0
2023-01-06T12:20:00,-6.0,766.5,74.0,0.001,2.0,11.0,,1.0,-10.0
2023-01-06T12:50:00,-6.0,766.5,74.0,0.001,3.0,11.0,,1.0,-10.0
2023-01-06T13:20:00,-6.0,766.5,80.0,0.001,3.0,11.0,,1.0,-9.0
2023-01-06T13:50:00,-7.0,766.5,86.0,0.001,4.0,11.0,,1.0,-9.0
2023-01-06T14:20:00,-7.0,766.5,86.0,0.001,3.0,11.0,,1.0,-9.0
2023-01-06T14:50:00,-7.0,766.5,86.0,0.001,3.0,11.0,,1.0,-9.0
2023-01-06T15:20:00,-7.0,766.5,86.0,0.001,3.0,11.0,,1.0,-9.0
2023-01-06T15:50:00,-8.0,766.4,86.0,0.001,3.0,11.0,,1.0,-10.0
2023-01-06T16:20:00,-8.0,766.4,86.0,0.001,3.0,11.0,,1.0,-10.0
2023-01-06T16:50:00,-8.0,766.4,86.0,0.001,2.0,11.0,,1.0,-10.0
2023-01-06T17:20:00,-8.0,766.4,86.0,0.001,2.0,11.0,,1.0,-10.0
2023-01-06T17:50:00,-8.0,766.4,86.0,0.001,2.0,11.0,,1.0,-10.0
2023-01-06T18:20:00,-8.0,766.4,86.0,0.001,2.0,11.0,,1.0,-10.0
2023-01-06T18:50:00,-8.0,766.4,86.0,0.001,2.0,11.0,,1.0,-10.0
2023-01-06T19:20:00,-8.0,766.4,79.0,0.001,2.0,11.0,,1.0,-11.0
2023-01-06T19:50:00,-9.0,766.4,86.0,0.001,2.0,11.0,,1.0,-11.0
2023-01-06T20:20:00,-9.0,766.4,86.0,0.001,3.0,11.0,,1.0,-11.0
2023-01-06T20:50:00,-9.0,766.4,79.0,0.001,3.0,11.0,,1.0,-12.0
2023-01-06T21:20:00,-9.0,766.4,79.0,0.001,2.0,11.0,,1.0,-12.0
2023-01-06T21:50:00,-9.0,766.4,79.0,0.001,2.0,11.0,,1.0,-12.0
2023-01-06T22:20:00,-9.0,766.4,79.0,0.001,3.0,11.0,,1.0,-12.0
2023-01-06T22:50:00,-10.0,766.4,79.0,0.001,3.0,11.0,,1.0,-13.0
